WigleWifi-1.4,appRelease=2.42,model=Freifunk,release=8.1.0,device=dummy,display=OPM8.190305.001-myself5@M5TR,board=MSM8974,brand=Freifunk
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
66:fa:e6:1f:a0:e0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62304475,6.92899346,0,0,WIFI
0e:98:70:4f:ac:f4,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79675021,7.20758378,0,0,WIFI
7e:fc:dc:fb:bf:70,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.840211,7.206224,0,0,WIFI
16:f2:c3:93:a9:50,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.782538,7.193814,0,0,WIFI
c2:e5:40:55:82:10,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.85786,7.19419,0,0,WIFI
52:cd:58:ba:1e:10,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62306176,7.0212239,0,0,WIFI
b2:9f:db:0b:90:18,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62592384,6.9471839,0,0,WIFI
52:87:98:aa:5f:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.6241,6.93808,0,0,WIFI
fe:e9:3c:96:d4:c8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.830082,6.896386,0,0,WIFI
d2:09:45:cf:e9:a8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.622523,7.021935,0,0,WIFI
5a:dd:4d:1c:58:c8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.83424387,7.20714237,0,0,WIFI
26:fe:23:2a:cf:28,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62343782,6.92749143,0,0,WIFI
06:de:00:d1:4f:48,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.83878959,7.20772862,0,0,WIFI
6a:a7:d2:24:ff:88,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.83703137,7.10607559,0,0,WIFI
7e:5e:a7:30:62:b0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80264119,7.13111132,0,0,WIFI
b2:68:c8:ea:21:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.61968047,6.94199145,0,0,WIFI
ee:78:78:7f:eb:58,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62306516,6.92877889,0,0,WIFI
f2:12:58:09:55:28,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.8023513,7.1288904,0,0,WIFI
96:0e:72:5e:56:d0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.782683,7.193946,0,0,WIFI
3e:65:2d:9d:d3:f0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81488018,7.15436339,0,0,WIFI
1a:16:7c:c4:e0:c8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81474,7.15315,0,0,WIFI
42:33:de:69:7d:e8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81466326,7.15690613,0,0,WIFI
f6:1a:f0:1e:ed:78,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80748734,7.12396324,0,0,WIFI
32:2c:d6:d6:d1:b8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,51.3841,6.4645,0,0,WIFI
66:3e:04:ff:a2:30,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80321584,7.2010231,0,0,WIFI
ea:92:d8:6f:52:b0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62441,6.94908,0,0,WIFI
be:5b:90:cc:f7:f0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79383242,7.20750868,0,0,WIFI
2a:00:1d:f8:09:30,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81525,7.15409,0,0,WIFI
da:e3:1e:d8:de:80,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.88062,7.055143,0,0,WIFI
46:d2:1a:06:cc:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.9844442,6.94228917,0,0,WIFI
ee:09:e6:36:45:90,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.838205,7.12069,0,0,WIFI
ce:ed:93:09:69:b0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.6453693,7.353504,0,0,WIFI
c2:1d:9b:fa:5a:e0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80809752,7.19462603,0,0,WIFI
4e:91:8c:eb:9e:98,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.776661,7.209831,0,0,WIFI
2e:6a:36:03:83:30,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.813515,7.174851,0,0,WIFI
62:78:2d:04:5e:70,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62217349,6.94241255,0,0,WIFI
52:92:ad:9e:cd:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80620932,7.25128233,0,0,WIFI
3e:84:c1:ca:12:b0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62355524,6.92892373,0,0,WIFI
ce:70:bf:e2:6d:98,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.855348,7.200524,0,0,WIFI
8e:a4:64:b5:d6:68,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80271408,7.20397085,0,0,WIFI
72:ed:7a:fd:8e:70,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.6392025,7.02078402,0,0,WIFI
e6:b3:7b:eb:d0:a0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.76035,7.17126,0,0,WIFI
3a:c9:b4:b9:55:b0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81715,7.17835,0,0,WIFI
62:ce:83:91:3b:78,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.83894712,7.2108829,0,0,WIFI
5a:f7:f6:c6:67:a0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.83422039,7.2072646,0,0,WIFI
ca:a4:01:f6:7f:20,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.6204854,6.9639802,0,0,WIFI
c2:66:2f:4e:df:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.59469359,7.0066756,0,0,WIFI
b2:ac:da:ef:03:d8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.828888,7.207125,0,0,WIFI
7e:40:75:e4:ea:b8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80341247,7.16231346,0,0,WIFI
66:f5:e1:4a:d3:48,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.791656,7.207761,0,0,WIFI
e6:2e:46:ea:12:20,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.80302429,7.16273993,0,0,WIFI
2a:d5:e6:6b:ca:b8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.81446074,7.13506356,0,0,WIFI
f2:46:88:cf:fe:08,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.8403445,7.21015871,0,0,WIFI
42:70:71:d9:37:60,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.8143616,7.16209352,0,0,WIFI
2e:3b:ea:2a:04:c0,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.64307736,7.35364616,0,0,WIFI
f2:36:33:4e:b8:30,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.62612803,6.94660485,0,0,WIFI
22:ca:88:52:9e:e8,Freifunk,[ESS],2019-03-17 05:19:17,5,-45,50.79707741,7.68904567,0,0,WIFI
